"attempt","dimension","replication","iteration","particles","next_particles","window_cv","stop_eligible","last_five_cv_explanatory_only","stop_condition","monotone","same_n_window","doubled"
"attempt08-validation-delayed-d80",80,1409,6,1000,2000,0.580000820267881,TRUE,0.289283848321567,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1409,7,2000,NA,0.266044426349326,TRUE,0.22893588076032,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1410,5,1000,1000,0.823856176922602,FALSE,0.617130315742926,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1410,6,1000,2000,0.538632897524517,TRUE,0.208594795468129,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1410,7,2000,NA,0.192199516190199,TRUE,0.176349179202722,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1411,5,1000,1000,0.846925376860598,FALSE,0.643667466372218,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1411,6,1000,2000,0.600186004902703,TRUE,0.323051364068087,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1411,7,2000,NA,0.325719169329174,TRUE,0.367060156223297,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1412,5,1000,1000,0.863955166988785,FALSE,0.663022939945998,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1412,6,1000,2000,0.577010163809507,TRUE,0.284038230296779,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1412,7,2000,NA,0.254693409937495,TRUE,0.275837156038094,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1413,5,1000,1000,0.831463958326414,FALSE,0.625924534241807,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1413,6,1000,2000,0.557337292202058,TRUE,0.247616667610741,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1413,7,2000,NA,0.22499756497747,TRUE,0.159806105810549,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1414,5,1000,1000,0.817200076391526,FALSE,0.609399725178105,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1414,6,1000,2000,0.568770985599232,TRUE,0.269404251898768,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1414,7,2000,NA,0.239978672033448,TRUE,0.164405484057362,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1415,5,1000,1000,0.866407380568231,FALSE,0.665794839510391,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1415,6,1000,2000,0.585096627453276,TRUE,0.298052692425648,FALSE,FALSE,TRUE,TRUE
