"attempt","dimension","replication","iteration","particles","next_particles","window_cv","stop_eligible","stop_condition","monotone","same_n_window","doubled"
"attempt08-validation-delayed-d80",80,1408,7,2000,NA,0.280264428673645,TRUE,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1409,5,1000,1000,0.824766728832299,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1409,6,1000,2000,0.580000820267881,TRUE,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1409,7,2000,NA,0.266044426349326,TRUE,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1410,5,1000,1000,0.823856176922602,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1410,6,1000,2000,0.538632897524517,TRUE,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1410,7,2000,NA,0.192199516190199,TRUE,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1411,5,1000,1000,0.846925376860598,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1411,6,1000,2000,0.600186004902703,TRUE,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1411,7,2000,NA,0.325719169329174,TRUE,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1412,5,1000,1000,0.863955166988785,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1412,6,1000,2000,0.577010163809507,TRUE,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1412,7,2000,NA,0.254693409937495,TRUE,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1413,5,1000,1000,0.831463958326414,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1413,6,1000,2000,0.557337292202058,TRUE,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1413,7,2000,NA,0.22499756497747,TRUE,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1414,5,1000,1000,0.817200076391526,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1414,6,1000,2000,0.568770985599232,TRUE,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1414,7,2000,NA,0.239978672033448,TRUE,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1415,5,1000,1000,0.866407380568231,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1415,6,1000,2000,0.585096627453276,TRUE,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1415,7,2000,NA,0.309880641294858,TRUE,TRUE,FALSE,FALSE,FALSE
"attempt08-validation-delayed-d80",80,1416,5,1000,1000,0.859993420160112,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt08-validation-delayed-d80",80,1416,6,1000,2000,0.573699471160217,TRUE,FALSE,FALSE,TRUE,TRUE
"attempt08-validation-delayed-d80",80,1416,7,2000,NA,0.25880091984009,TRUE,TRUE,FALSE,FALSE,FALSE
"attempt09-validation-delayed-d5",5,1501,5,1000,1000,0.414090842927101,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1501,6,1000,NA,0.0560421610295753,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1502,5,1000,1000,0.158437753516831,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1502,6,1000,NA,0.0529013390008124,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1503,5,1000,1000,0.32787930598417,FALSE,FALSE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1503,6,1000,NA,0.0719815399196718,TRUE,TRUE,FALSE,TRUE,FALSE
"attempt09-validation-delayed-d5",5,1504,5,1000,1000,0.306114878654339,FALSE,FALSE,FALSE,TRUE,FALSE
